Condition,Time,Slope,Y-intercept (log scale),X-intercept,1/slope,R squared,Sy.x,LOD
Lysed (plain_PBS),0.0,0.8513504196773756,2.1774932054027167,0.002768896799140979,1.1746044600282879,0.9710451846192006,25385.98975198713,98401.03939022443
Lysed (plain_PBS),10.0,0.9096143266642539,1.8792970982844084,0.00858939810603694,1.0993670291751112,0.9794399294590171,20973.003433380876,76088.19397553662
Lysed (plain_PBS),20.0,0.9160604152622491,1.7897299154151889,0.011124365243193159,1.0916310576674364,0.9783922444246578,21136.178007041708,76140.59756448468
Lysed (plain_PBS),30.0,0.9284036374100622,1.7174090161751683,0.01413020078788373,1.077117710126242,0.9767243745305634,19963.807062446172,70961.12149006358
Lysed (opt_HBS),0.0,0.6361695684107783,2.785701118846947,4.179595705774092e-05,1.5719079466471655,0.9936388323223144,8572.196677434998,44466.52345569226
Lysed (opt_HBS),10.0,0.6629207142570415,2.6780396485703744,9.125179413151761e-05,1.5084760190677329,0.995365128680972,7756.936898559169,38613.80586656387
Lysed (opt_HBS),20.0,0.6757307518801757,2.597962297692779,0.00014299774510198235,1.4798793709144755,0.9954212043870292,5077.826657466035,24798.084034229843
Lysed (opt_HBS),30.0,0.671374716995163,2.5863844924091737,0.00014048468960117937,1.4894811715216922,0.9958914764580489,4389.8386400272375,21577.320601118572
Intact (FuGENE_DPBS),0.0,0.9387107797739428,2.1518937383868124,0.005100435978680004,1.0652908452173273,0.9855511124217855,91044.4916930983,320063.24957680464
Intact (FuGENE_DPBS),10.0,0.9401526073689548,2.013597216522762,0.007214778714873244,1.0636571043487608,0.9754761585729876,89627.01577837032,314596.9598449989
Intact (FuGENE_DPBS),20.0,0.9374959229149102,1.9451821661888178,0.0084164703799098,1.0666713055036536,0.9684823773211292,79354.57597531576,279329.32220582047
Intact (FuGENE_DPBS),30.0,0.9485598553479475,1.874999858235073,0.010551626406754732,1.0542297297972656,0.9723466517309559,68046.38289537912,236730.51551647345
Intact (PEI_DPBS),0.0,0.7463654234475551,2.234772467449341,0.0010134285727662834,1.3398262681849262,0.9556801098241486,23219.760751937145,102664.46980816871
Intact (PEI_DPBS),10.0,0.8001379936338384,1.9786776468435008,0.0033657317574115105,1.249784422132594,0.9818408464703278,11904.181600306256,49096.2803835907
Intact (PEI_DPBS),20.0,0.8096306223275697,1.8830494040628118,0.004722663778261343,1.2351311479859126,0.9845914664222157,6973.865484567906,28425.006990117174
Intact (PEI_DPBS),30.0,0.8246873728196451,1.7926548482390277,0.0067028779484368025,1.2125807099252082,0.9848752379710419,5570.01715049834,22288.51465713464
